Column name,Concentration (fmol)
Cucsa.000200,-0.2603649821091202
Cucsa.000210,-0.24013880631727186
Cucsa.000230,-0.2603649821091202
Cucsa.000250,-0.06121083844431019
Cucsa.000290,-0.25797953722923667
Cucsa.001310,-0.1929147424861219
Cucsa.001320,-0.21510840442489956
Cucsa.001330,-0.21628744380327958
Cucsa.001340,0.08888364205701699
Cucsa.001360,0.04220719823558632
Cucsa.001370,-0.24506145787954675
Cucsa.001400,-0.25599658355656046
Cucsa.001410,-0.22914629147105917
Cucsa.002240,-0.2602708230651625
Cucsa.002260,-0.19909941745153623
Cucsa.002280,-0.17600901926570361
Cucsa.002290,-0.21575822148468327
Cucsa.002310,-0.2600314927983011
Cucsa.002320,-0.18849425084528965
Cucsa.002330,-0.2603649821091202
Cucsa.002530,-0.23332602446289052
Cucsa.002540,-0.25490164983586366
Cucsa.002590,-0.22325313928086524
Cucsa.002600,-0.25252605304617265
Cucsa.002610,-0.2603649821091202
Cucsa.002620,-0.24445723632473546
Cucsa.002630,-0.11879528839548163
Cucsa.002640,-0.1770639394647482
Cucsa.002650,-0.23598755993275083
Cucsa.002660,-0.2114044042412311
Cucsa.002670,-0.25775925677143857
Cucsa.002680,-0.24540138353330243
Cucsa.002880,-0.1434538639156727
Cucsa.002900,-0.21541018080666116
Cucsa.002920,-0.2602736539906671
Cucsa.002930,-0.23263410283096803
Cucsa.002940,-0.23001635227934142
Cucsa.002950,-0.25244534930809
Cucsa.002960,-0.1215447522053614
Cucsa.002980,-0.25797574181224847
Cucsa.003190,-0.21853552543028557
Cucsa.003210,-0.23747670279508964
Cucsa.003220,1.9003466856137965
Cucsa.003230,-0.2029496205044715
Cucsa.003430,-0.2321085320261633
Cucsa.003830,-0.25737165411623314
Cucsa.003840,-0.08022240229501022
Cucsa.003850,-0.08209782469996749
Cucsa.003860,-0.2518416797734044
Cucsa.003880,-0.24308691475331667
Cucsa.003910,-0.20270216138779776
Cucsa.003950,-0.11904102671208011
Cucsa.003960,-0.11248096949750917
Cucsa.003970,-0.00959439236258208
Cucsa.004190,-0.08980156197650843
Cucsa.004200,-0.24154021324610722
Cucsa.004230,-0.016928231864334148
Cucsa.004430,-0.17822824002335594
Cucsa.004450,-0.2520935710944644
Cucsa.004460,-0.23852363039094013
Cucsa.004470,-0.2122711294562639
Cucsa.004500,-0.2501181596472781
