Column name,Concentration (fmol)
Cucsa.000200,-0.19722208136958308
Cucsa.000210,-0.1762610553294994
Cucsa.000230,-0.19722208136958308
Cucsa.000250,0.0255504910182128
Cucsa.000290,-0.19489073896740336
Cucsa.001310,-0.12436478795764314
Cucsa.001320,-0.15146552558983012
Cucsa.001330,-0.1524531299871018
Cucsa.001340,0.0012854916391506488
Cucsa.001360,0.11873392600515426
Cucsa.001370,-0.1796541568089527
Cucsa.001400,-0.19226661810530715
Cucsa.001410,-0.16652768104623664
Cucsa.002240,-0.19722208136958308
Cucsa.002260,-0.1330853337699519
Cucsa.002280,-0.11704002464888816
Cucsa.002290,-0.14379186061108898
Cucsa.002310,-0.19722208136958308
Cucsa.002320,-0.11962323094904337
Cucsa.002330,-0.19722208136958308
Cucsa.002530,-0.16667073698356075
Cucsa.002540,-0.19182406782684025
Cucsa.002590,-0.1472506700595231
Cucsa.002600,-0.18323138006286016
Cucsa.002610,-0.19722208136958308
Cucsa.002620,-0.17907710596831997
Cucsa.002630,-0.05344998618786481
Cucsa.002640,-0.11566005139533332
Cucsa.002650,-0.17115912874076805
Cucsa.002660,-0.14355672805246208
Cucsa.002670,-0.19670479779171016
Cucsa.002680,-0.18063832056370796
Cucsa.002880,-0.06547623915746825
Cucsa.002900,-0.1397422207603293
Cucsa.002920,-0.19707703911147362
Cucsa.002930,-0.17147465696986305
Cucsa.002940,-0.161598349458638
Cucsa.002950,-0.18692423518011078
Cucsa.002960,-0.05000300633579849
Cucsa.002980,-0.19477404325697983
Cucsa.003190,-0.16486549297662098
Cucsa.003210,-0.17336615115186949
Cucsa.003220,2.154505188453034
Cucsa.003230,-0.13289498032133357
Cucsa.003430,-0.17170693193997832
Cucsa.003830,-0.1950174030221632
Cucsa.003840,0.0004194579440046642
Cucsa.003850,-0.005980140940316986
Cucsa.003860,-0.18965771387183966
Cucsa.003880,-0.18046338128943287
Cucsa.003910,-0.12982707209004835
Cucsa.003950,-0.056494944043604195
Cucsa.003960,-0.042592970965683374
Cucsa.003970,0.05556648360704597
Cucsa.004190,-0.03748884422970988
Cucsa.004200,-0.17824331084760645
Cucsa.004230,-0.0012420307103236383
Cucsa.004430,-0.10270873261935276
Cucsa.004450,-0.18734154146326218
Cucsa.004460,-0.17470092471962922
Cucsa.004470,-0.13950287302410153
Cucsa.004500,-0.1899792564418032
Cucsa.004510,-0.18847738243589027
Cucsa.004520,-0.1307286334426404
Cucsa.004530,-0.10734306419697183
Cucsa.004580,-0.19722208136958308
Cucsa.004590,-0.19722208136958308
Cucsa.004610,-0.1253013074336673
Cucsa.004650,-0.14362920555448086
Cucsa.004660,0.0017147560716400112
Cucsa.004670,-0.1600096214635476
Cucsa.004700,-0.1741089256188356
Cucsa.004920,-0.0544104091078835
Cucsa.004950,-0.11819580703864037
Cucsa.004960,-0.1941751982358419
Cucsa.005000,-0.15521236446385422
Cucsa.005010,-0.18595639210513315
Cucsa.005020,-0.15561051369006235
Cucsa.005030,-0.15010321628648726
Cucsa.005040,-0.044059752232425586
Cucsa.005050,-0.18362121352984048
Cucsa.005080,-0.11408222474227238
Cucsa.005090,-0.18490616013114103
Cucsa.005100,-0.19019386351225337
Cucsa.005110,-0.19305805857297031
Cucsa.005120,-0.16254006282232064
Cucsa.005130,0.3402573364015564
Cucsa.005150,-0.1387750791916136
Cucsa.005160,-0.11921806398823478
Cucsa.005170,-0.18714963244779212
Cucsa.005190,-0.13867989484887583
Cucsa.005210,-0.19722208136958308
Cucsa.005220,0.05825596425578
Cucsa.005230,-0.1546242042849656
Cucsa.005240,-0.18228895043613044
