Genes	Solyc09g089580.2	Solyc03g083910.2	Solyc07g052350.2	Solyc12g005860.1	Solyc01g079790.2	Solyc01g109790.2	Solyc07g019440.2	Solyc07g056140.2	Solyc02g088100.2	Solyc02g091490.2	Solyc03g006860.2	Solyc06g073190.2	Solyc03g121070.2	Solyc04g081400.2	Solyc10g074500.1	Solyc01g005560.2	Solyc02g086610.2	Solyc11g011930.1	Solyc04g081440.2	Solyc04g006970.2	Solyc07g055060.2	Solyc07g062530.2	Solyc10g007290.2	Solyc12g014250.1	Solyc04g014270.2	Solyc11g010450.1	Solyc12g095880.1	Solyc02g081160.2	Solyc04g082880.2	Solyc12g095760.1	Solyc03g095900.2	Solyc07g007790.2	Solyc01g007910.2	Solyc06g083790.2	Solyc07g042550.2	Solyc12g009300.1	Solyc11g011960.1
40	3586.27	2405.41	5960.89	8999.72	2284.41	1743.61	5341.52	4389.98	39150.76	6149.30	7297.95	17146.97	3968.44	3663.90	11704.13	13984.41	4706.29	1926.21	8177.37	7567.04	4523.91	17359.61	1446.52	4845.67	7433.48	2445.97	4402.58	18555.30	4256.73	11489.46	112.75	3774.31	5444.73	17936.92	2189.23	14314.33	47731.96
42	4577.10	3102.77	6523.14	9437.91	1447.42	1467.18	1342.61	3682.47	30340.69	6801.61	6687.06	15896.89	2485.82	2982.93	10630.18	12097.34	4742.99	2175.27	6892.59	6364.92	3966.12	18198.57	1291.77	4759.95	1235.83	2211.27	5123.41	18669.97	4073.38	10140.43	308.54	4026.99	5597.53	17324.58	1749.76	10981.26	50410.31
42	3750.29	1913.53	4475.55	6674.63	896.54	865.07	1370.76	2631.84	23092.00	4579.93	2570.47	10043.33	1681.72	1948.72	8932.59	9420.95	4200.61	1664.02	5643.75	4384.71	3249.57	11228.89	702.03	3422.97	706.98	1242.99	5776.67	11618.02	2738.08	6898.75		2817.20	4589.84	12442.39	1384.76	7424.91	32453.69
49	52904.51	7099.41	4388.52	12307.77	1278.01	175.14	4506.23	1849.11	19400.12	5188.97	4224.79	8495.82	1554.11	2351.08	12904.07	18824.52	5785.99	3141.57	3416.53	3855.93	3575.68	11297.18	308.60	3513.64	2414.94	2714.38	10548.73	14404.88	3496.27	6488.67	5807.59	3769.57	5673.06	14974.60	1678.20	3472.21	28726.24
48	68433.97	10570.69	4912.93	13213.03	1090.83	210.77	2932.03	1640.76	14417.41	6396.87	1493.05	8225.01	2042.94	2013.35	10508.54	18684.95	4746.42	3660.60	3459.60	3054.33	3079.72	11260.22	262.10	3208.72	598.65	2495.48	8587.85	15768.20	3471.78	5713.65	11100.56	3942.59	4364.31	14595.74	1290.61	2844.37	31502.21
50	137564.47	16388.05	5513.24	17087.22		1411.29	4154.93	1501.32	12791.51	7162.88	3054.76	7583.01	824.66	1884.46	13716.22	22048.50	4368.74	3105.33	2965.59	1806.41	5219.49	8485.41	336.76	3653.00	2990.39	4130.49	14719.15	12568.62	3988.86	4309.47	4635.89	4222.96	2537.59	15687.81	1222.74	2508.75	31271.96
50	132361.77	19672.91	5526.03	14970.59	903.46	686.23	2611.88	1219.82	10187.78	7107.04	2502.44	6302.66	3788.59	1337.95	11841.17	18133.15	4166.08	3232.94	2302.27	1268.55	4153.47	7311.50	441.09	2915.22	1301.97	3188.05	12763.38	11060.80	3372.28	3312.94	7030.57	3563.91	3493.91	12941.16	865.69	1694.40	27619.04
51	150444.63	17755.23	5531.65	17166.84	2655.96	940.59	4455.50	1406.88	11882.44	7225.41	1939.54	6422.13	705.28	1506.04	15850.44	19908.18	4198.14	2511.55	3255.48	1547.57	5162.64	7586.73	194.33	3467.59	1798.90	3945.98	13118.42	11774.27	4346.08	3826.74	3421.24	4404.46	3531.70	15117.27	958.63	1950.64	28235.90
54	188105.91	49722.38	6985.79	20941.90	3591.56	1193.56	4766.85	1474.72	20375.79	8936.80	4520.98	7320.51	2122.47	2266.90	17337.86	17794.20	10454.85	3552.67	4512.17	1241.60	5047.25	7411.51	798.20	2281.60	1124.25	5624.44	11677.56	9985.38	4317.72	4308.41	5820.37	4570.42	5234.50	18398.33	1790.66	1563.45	28565.29
53	137794.39	50801.04	5545.33	15659.33	19552.33	1126.09	2848.06	1029.46	8676.32	7251.18	1068.78	5034.92	993.52	1237.00	10393.30	11633.98	6353.43	3232.96	1508.88	732.03	3056.51	5208.55	854.64	1342.07	1916.87	3211.85	9810.82	7391.02	2872.33	2690.54	6650.82	3123.39	2821.94	12544.73	891.62	834.49	21835.22
52	118645.03	33743.50	4279.30	12376.21		724.31	1778.06	771.11	9503.57	5497.21		3707.81	1131.36	1182.10	10894.32	13502.04	8339.47	2868.46	2395.06	581.15	2846.43	3734.55	635.32	1495.00	971.01	3108.37	13142.13	5355.67	2729.55	2024.84	1893.29	2686.71	4547.89	10959.70	838.34	680.68	15266.23
