"","TranscritID","Weight formula","Weight error","mRNA formula","mRNA error","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"247","Acc29900.1","Double sigmoid",0.132975667333564,"3_deg_log",0.615185035527799,0.414607721949009,4841.69211963639,3.06969235732638,37189.5072337933,3.18464216509645,1.69306952011673,0.330198927835913,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"248","Acc30255.1","Double sigmoid",0.132975667333564,"3_deg_log",0.769015489057777,0.568259820553793,10206.4284258688,0.904081052881918,61492.9758005756,3.42372335705466,2.29469527947233,0.73255334782734,-5,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"249","Acc30282.1","Double sigmoid",0.132975667333564,"3_deg_log",0.528066291903432,0.132645177074155,6906.98996726834,2.85481294321485,298614.161239045,5.73473082806124,2.75054303051838,0.167103859381502,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"250","Acc30346.1","Double sigmoid",0.132975667333564,"3_deg_log",0.453226530287239,0.780838292949958,5811.49405479977,1.56937655458143,2879.09604600659,0.386838293320807,0.0868065604828999,0.514441727453059,-1,"Inaccurate fit",6,"Optimisation converges to 2 indentical values"
"251","Acc30369.1","Double sigmoid",0.132975667333564,"3_deg_log",0.431058959393134,0.268704902948096,32382.7107227932,2.64432494186652,611396.716580723,5.07324098954978,2.24608362543317,0.272914813606403,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"252","Acc30397.1","Double sigmoid",0.132975667333564,"3_deg_log",0.419823391622061,0.333012310508716,9453.94184319752,4.71833958304413,145920.415799231,5.14000356905718,3.09762366565613,0.21165792210739,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"253","Acc30513.1","Double sigmoid",0.132975667333564,"3_deg_log",0.663701886458364,0.0523701720719226,5683.27720886395,1.15679414390128,14622.331762532,0.134741629231492,0.0672267416099853,0.278914566409319,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"254","Acc30521.1","Double sigmoid",0.132975667333564,"3_deg_log",0.643991489639366,0.125759280054466,9105.7399007461,1.00283816988441,21323.1515812063,0.294493827033764,0.0538130887262888,0.115597714962749,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"255","Acc30585.1","Double sigmoid",0.132975667333564,"3_deg_log",0.85827259543624,0.0632631348826045,15227.1530737326,2.86232230803339,159567.314671703,0.662942606674432,0.477706551858827,0.479813294647692,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"256","Acc30614.1","Double sigmoid",0.132975667333564,"3_deg_log",0.467975821225306,1.23320349116308,79885.5213452323,1.40767783489515,12197.6787847136,0.188297200895621,0,0.594568583283116,-2,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"257","Acc30759.1","Double sigmoid",0.132975667333564,"3_deg_log",0.471945346328248,3.04037572238111,13524.5616768473,3.24705113800938,131544.559878549,29.5717447871684,18.0519071723063,0.231632580164289,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
