"","TranscritID","Weight formula","mRNA formula","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"2641","Acc25467.1","Double sigmoid","3_deg_log",0.206091567169333,2960.25732548531,2.98075895410629,10.9821749828552,157745.726277325,7.47333201627315,0.147211724765185,7,"Very accurate fit",1,"Optimisation converges to different values"
"2642","Acc25476.1","Double sigmoid","3_deg_log",0.249119317243949,7805.53034010031,2.64470659782028,2.98154950645439,93419.3919227519,1.31020258330377,0.15968985301153,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2643","Acc25481.1","Double sigmoid","3_deg_log",0.840306526392824,4971.1349743665,1.99265546458869,9.82757762603374,58138.5641020712,5.99378666743679,0.19869676783201,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2644","Acc25490.1","Double sigmoid","3_deg_log",0.355188860923143,6445.86852721623,2.84994141875326,20.227511837384,367083.25142184,15.2645653138449,0.231490365015597,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2645","Acc25491.1","Double sigmoid","3_deg_log",0.738082490547173,11856.1756312955,3.63109759384725,2.86398914361886,46005.6412768928,1.29374559350427,0.199024485348088,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2646","Acc25497.1","Double sigmoid","3_deg_log",0.622083955993116,6360.96380842184,1.27746520054067,3.69024729926078,37733.7002322304,2.43135112882898,0.313520475401615,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2647","Acc25502.1","Double sigmoid","3_deg_log",2.67214806689101,153764.501384933,2.71485333905182,2.46006816567639,141560.701502701,0.910477540354546,0.296423645516241,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2648","Acc25518.1","Double sigmoid","3_deg_log",0.412449327533226,21740.9555048059,3.37779569613754,3.10562525279941,163703.165282223,1.2787285275037,0.37770026519041,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"2649","Acc25519.1","Double sigmoid","3_deg_log",0.318336279516666,3512.23274790974,2.30257320579343,0.906477352120561,10001.2459974411,0.380309672932003,0.668442971766455,-4,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2650","Acc25551.1","Double sigmoid","3_deg_log",0.210802762570996,68307.6829805809,3.390986186914,2.45067569816812,794107.139000627,0.796438722574043,0.225058645070561,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2651","Acc25566.1","Double sigmoid","3_deg_log",0.209086016955373,5357.89919717588,0.868357684177283,2.59828156776575,66581.8352115836,1.39038157165142,0.504946127364541,-1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2652","Acc25580.1","Double sigmoid","3_deg_log",0.354951631237036,2569.85440133993,1.89324620313495,4.34090654509638,31428.2195347107,2.09096219774578,0.259115138545553,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2653","Acc25593.1","Double sigmoid","3_deg_log",0.199711944116451,8883.03812694331,2.57289211101469,5.79206205373685,257626.594566447,3.23066829522396,0.235955723483303,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2654","Acc25599.1","Double sigmoid","3_deg_log",3.18220438492849,23082.9092756188,3.86444084804591,1.85620856160854,13464.469481334,0.489279012357532,0.338914171984834,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2655","Acc25600.1","Double sigmoid","3_deg_log",0.724303340252459,28231.2240804941,4.19460533559249,6.41831431569343,250167.104851716,3.88658967568253,0.241225844716029,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2656","Acc25615.1","Double sigmoid","3_deg_log",0.233478536276146,28135.9108489258,2.95421587526395,7.16840039842385,863845.892458867,4.0875249986215,0.313618269513054,3,"Average fit",6,"Optimisation converges to 2 indentical values"
