Gene,Transcrit
Acc00327,Acc00327.1
Acc00328,Acc00328.1
Acc00329,Acc00329.1
Acc00330,Acc00330.1
Acc00331,Acc00331.1
Acc00332,Acc00332.1
Acc00334,Acc00334.1
Acc00335,Acc00335.1
Acc00336,Acc00336.1
Acc00337,Acc00337.1
Acc00338,Acc00338.1
Acc00339,Acc00339.1
Acc00340,Acc00340.1
Acc00341,Acc00341.1
Acc00342,Acc00342.1
Acc00343,Acc00343.1
Acc00344,Acc00344.1
Acc00345,Acc00345.1
Acc00346,Acc00346.1
Acc00347,Acc00347.1
Acc00348,Acc00348.1
Acc00349,Acc00349.1
Acc00350,Acc00350.1
Acc00352,Acc00352.1
Acc00353,Acc00353.1
Acc00354,Acc00354.1
Acc00355,Acc00355.1
Acc00356,Acc00356.1
Acc00357,Acc00357.1
Acc00358,Acc00358.1
Acc00359,Acc00359.1
Acc00360,Acc00360.1
Acc00361,Acc00361.1
Acc00362,Acc00362.1
Acc00363,Acc00363.1
Acc00364,Acc00364.1
Acc00365,Acc00365.1
Acc00366,Acc00366.1
Acc00367,Acc00367.1
Acc00368,Acc00368.1
Acc00369,Acc00369.1
Acc00370,Acc00370.1
Acc00371,Acc00371.1
Acc00372,Acc00372.1
Acc00373,Acc00373.1
Acc00374,Acc00374.1
Acc00375,Acc00375.1
Acc00376,Acc00376.1
Acc00377,Acc00377.1
Acc00378,Acc00378.1
Acc00379,Acc00379.1
Acc00380,Acc00380.1
Acc00381,Acc00381.1
Acc00382,Acc00382.1
Acc00383,Acc00383.1
Acc00384,Acc00384.1
Acc00385,Acc00385.1
Acc00386,Acc00386.1
Acc00387,Acc00387.1
Acc00388,Acc00388.1
Acc00389,Acc00389.1
Acc00390,Acc00390.1
Acc00391,Acc00391.1
Acc00392,Acc00392.1
Acc00393,Acc00393.1
Acc00394,Acc00394.1
Acc00395,Acc00395.1
Acc00396,Acc00396.1
Acc00398,Acc00398.1
Acc00399,Acc00399.1
Acc00400,Acc00400.1
Acc00401,Acc00401.1
Acc00403,Acc00403.1
Acc00404,Acc00404.1
Acc00405,Acc00405.1
Acc00406,Acc00406.1
Acc00407,Acc00407.1
Acc00408,Acc00408.1
Acc00409,Acc00409.1
Acc00410,Acc00410.1
Acc00411,Acc00411.1
Acc00412,Acc00412.1
Acc00413,Acc00413.1
Acc00414,Acc00414.1
Acc00415,Acc00415.1
Acc00416,Acc00416.1
Acc00417,Acc00417.1
Acc00418,Acc00418.1
Acc00419,Acc00419.1
Acc00420,Acc00420.1
Acc00421,Acc00421.1
Acc00422,Acc00422.1
Acc00423,Acc00423.1
Acc00425,Acc00425.1
Acc00426,Acc00426.1
Acc00428,Acc00428.1
Acc00429,Acc00429.1
Acc00431,Acc00431.1
Acc00432,Acc00432.1
Acc00433,Acc00433.1
Acc00434,Acc00434.1
Acc00435,Acc00435.1
Acc00436,Acc00436.1
Acc00437,Acc00437.1
Acc00438,Acc00438.1
Acc00439,Acc00439.1
Acc00440,Acc00440.1
Acc00441,Acc00441.1
Acc00442,Acc00442.1
Acc00443,Acc00443.1
Acc00444,Acc00444.1
Acc00445,Acc00445.1
Acc00446,Acc00446.1
Acc00447,Acc00447.1
Acc00448,Acc00448.1
Acc00449,Acc00449.1
Acc00450,Acc00450.1
Acc00451,Acc00451.1
Acc00452,Acc00452.1
Acc00453,Acc00453.1
Acc00454,Acc00454.1
Acc00455,Acc00455.1
Acc00456,Acc00456.1
Acc00457,Acc00457.1
Acc00458,Acc00458.1
Acc00459,Acc00459.1
Acc00460,Acc00460.1
Acc00461,Acc00461.1
Acc00462,Acc00462.1
Acc00463,Acc00463.1
Acc00464,Acc00464.1
Acc00465,Acc00465.1
Acc00466,Acc00466.1
Acc00467,Acc00467.1
Acc00468,Acc00468.1
Acc00469,Acc00469.1
Acc00470,Acc00470.1
Acc00471,Acc00471.1
Acc00472,Acc00472.1
Acc00473,Acc00473.1
Acc00474,Acc00474.1
Acc00475,Acc00475.1
Acc00476,Acc00476.1
Acc00477,Acc00477.1
Acc00478,Acc00478.1
Acc00479,Acc00479.1
Acc00480,Acc00480.1
Acc00481,Acc00481.1
Acc00482,Acc00482.1
Acc00483,Acc00483.1
Acc00484,Acc00484.1
Acc00485,Acc00485.1
Acc00486,Acc00486.1
Acc00487,Acc00487.1
Acc00488,Acc00488.1
Acc00489,Acc00489.1
Acc00490,Acc00490.1
Acc00491,Acc00491.1
Acc00492,Acc00492.1
Acc00493,Acc00493.1
Acc00494,Acc00494.1
Acc00495,Acc00495.1
Acc00496,Acc00496.1
Acc00497,Acc00497.1
Acc00498,Acc00498.2
Acc00499,Acc00499.1
Acc00500,Acc00500.1
Acc00501,Acc00501.1
Acc00502,Acc00502.1
Acc00503,Acc00503.1
Acc00504,Acc00504.1
Acc00505,Acc00505.1
Acc00506,Acc00506.1
Acc00507,Acc00507.1
Acc00508,Acc00508.1
Acc00509,Acc00509.1
Acc00510,Acc00510.1
Acc00511,Acc00511.1
Acc00512,Acc00512.1
Acc00513,Acc00513.1
Acc00514,Acc00514.1
Acc00515,Acc00515.1
Acc00516,Acc00516.1
Acc00517,Acc00517.1
Acc00518,Acc00518.1
Acc00519,Acc00519.1
Acc00520,Acc00520.1
Acc00521,Acc00521.1
Acc00522,Acc00522.1
Acc00524,Acc00524.1
Acc00525,Acc00525.1
Acc00526,Acc00526.1
Acc00527,Acc00527.1
Acc00528,Acc00528.1
Acc00529,Acc00529.1
Acc00530,Acc00530.1
Acc00531,Acc00531.1
Acc00532,Acc00532.1
Acc00533,Acc00533.1
Acc00534,Acc00534.1
Acc00535,Acc00535.1
Acc00536,Acc00536.1
Acc00537,Acc00537.1
Acc00538,Acc00538.1
Acc00539,Acc00539.1
Acc00540,Acc00540.1
Acc00541,Acc00541.1
Acc00542,Acc00542.1
Acc00543,Acc00543.1
Acc00544,Acc00544.1
Acc00545,Acc00545.1
Acc00546,Acc00546.1
Acc00547,Acc00547.1
Acc00548,Acc00548.1
Acc00549,Acc00549.1
Acc00550,Acc00550.1
Acc00551,Acc00551.1
Acc00552,Acc00552.1
Acc00553,Acc00553.1
Acc00554,Acc00554.1
Acc00555,Acc00555.1
Acc00556,Acc00556.1
Acc00557,Acc00557.1
Acc00558,Acc00558.1
Acc00559,Acc00559.1
Acc00560,Acc00560.1
Acc00561,Acc00561.1
Acc00562,Acc00562.1
Acc00563,Acc00563.1
Acc00564,Acc00564.1
Acc00565,Acc00565.1
Acc00566,Acc00566.1
Acc00567,Acc00567.1
Acc00568,Acc00568.1
Acc00569,Acc00569.1
Acc00570,Acc00570.1
Acc00571,Acc00571.1
Acc00572,Acc00572.1
Acc00573,Acc00573.1
Acc00574,Acc00574.1
Acc00576,Acc00576.1
Acc00577,Acc00577.1
Acc00578,Acc00578.1
Acc00579,Acc00579.1
Acc00580,Acc00580.1
Acc00581,Acc00581.1
Acc00582,Acc00582.1
Acc00583,Acc00583.1
Acc00584,Acc00584.1
Acc00585,Acc00585.1
Acc00586,Acc00586.1
Acc00587,Acc00587.1
Acc00588,Acc00588.1
Acc00589,Acc00589.1
Acc00590,Acc00590.1
Acc00591,Acc00591.1
Acc00593,Acc00593.1
Acc00594,Acc00594.1
Acc00595,Acc00595.1
Acc00596,Acc00596.1
Acc00597,Acc00597.1
Acc00598,Acc00598.1
Acc00600,Acc00600.1
Acc00601,Acc00601.1
Acc00602,Acc00602.1
Acc00604,Acc00604.1
Acc00605,Acc00605.1
Acc00606,Acc00606.1
Acc00607,Acc00607.1
Acc00608,Acc00608.1
Acc00609,Acc00609.1
Acc00611,Acc00611.1
Acc00612,Acc00612.1
Acc00613,Acc00613.1
Acc00614,Acc00614.1
Acc00615,Acc00615.1
Acc00616,Acc00616.1
Acc00617,Acc00617.1
Acc00618,Acc00618.1
Acc00619,Acc00619.1
Acc00620,Acc00620.1
Acc00621,Acc00621.1
Acc00622,Acc00622.1
Acc00623,Acc00623.1
Acc00624,Acc00624.1
Acc00625,Acc00625.1
Acc00626,Acc00626.1
Acc00627,Acc00627.1
Acc00628,Acc00628.1
Acc00629,Acc00629.1
Acc00630,Acc00630.1
Acc00631,Acc00631.1
Acc00632,Acc00632.1
Acc00633,Acc00633.1
Acc00634,Acc00634.1
Acc00635,Acc00635.1
Acc00636,Acc00636.1
Acc00637,Acc00637.1
Acc00638,Acc00638.1
Acc00639,Acc00639.1
Acc00640,Acc00640.1
Acc00641,Acc00641.1
Acc00642,Acc00642.1
Acc00643,Acc00643.1
Acc00644,Acc00644.1
Acc00645,Acc00645.1
Acc00646,Acc00646.1
Acc00647,Acc00647.1
Acc00648,Acc00648.1
Acc00649,Acc00649.1
Acc00650,Acc00650.1
Acc00651,Acc00651.1
Acc00652,Acc00652.1
Acc00653,Acc00653.1
Acc00654,Acc00654.1
Acc00655,Acc00655.1
Acc00656,Acc00656.1
Acc00657,Acc00657.1
Acc00658,Acc00658.2
Acc00659,Acc00659.1
Acc00660,Acc00660.1
Acc00661,Acc00661.1
Acc00662,Acc00662.1
Acc00663,Acc00663.1
Acc00664,Acc00664.1
Acc00665,Acc00665.1
Acc00666,Acc00666.1
Acc00667,Acc00667.1
Acc00668,Acc00668.1
Acc00669,Acc00669.1
Acc00670,Acc00670.1
Acc00671,Acc00671.1
Acc00672,Acc00672.1
Acc00673,Acc00673.1
Acc00674,Acc00674.1
Acc00675,Acc00675.1
Acc00676,Acc00676.1
Acc00677,Acc00677.1
Acc00678,Acc00678.1
Acc00679,Acc00679.1
Acc00680,Acc00680.1
Acc00682,Acc00682.1
Acc00683,Acc00683.1
Acc00684,Acc00684.1
Acc00685,Acc00685.1
Acc00686,Acc00686.1
Acc00687,Acc00687.1
Acc00688,Acc00688.1
Acc00689,Acc00689.1
Acc00690,Acc00690.1
Acc00691,Acc00691.1
Acc00692,Acc00692.1
Acc00693,Acc00693.1
Acc00694,Acc00694.1
Acc00695,Acc00695.1
Acc00696,Acc00696.1
Acc00697,Acc00697.1
Acc00698,Acc00698.1
Acc00699,Acc00699.1
Acc00700,Acc00700.1
Acc00701,Acc00701.1
Acc00702,Acc00702.1
Acc00703,Acc00703.1
Acc00704,Acc00704.1
Acc00705,Acc00705.1
Acc00706,Acc00706.1
Acc00707,Acc00707.1
Acc00708,Acc00708.1
Acc00709,Acc00709.1
Acc00710,Acc00710.1
Acc00711,Acc00711.1
Acc00712,Acc00712.1
Acc00713,Acc00713.1
Acc00715,Acc00715.1
Acc00716,Acc00716.1
Acc00717,Acc00717.1
Acc00718,Acc00718.1
Acc00719,Acc00719.1
Acc00720,Acc00720.1
Acc00721,Acc00721.1
Acc00722,Acc00722.1
Acc00723,Acc00723.1
Acc00724,Acc00724.1
Acc00725,Acc00725.1
Acc00726,Acc00726.1
Acc00727,Acc00727.1
Acc00728,Acc00728.1
Acc00729,Acc00729.1
Acc00730,Acc00730.1
Acc00731,Acc00731.1
Acc00732,Acc00732.1
Acc00733,Acc00733.1
Acc00734,Acc00734.1
Acc00735,Acc00735.1
Acc00737,Acc00737.1
Acc00738,Acc00738.1
Acc00739,Acc00739.1
Acc00740,Acc00740.1
Acc00742,Acc00742.1
Acc00743,Acc00743.1
Acc00744,Acc00744.1
Acc00745,Acc00745.1
Acc00746,Acc00746.1
Acc00747,Acc00747.1
Acc00748,Acc00748.1
Acc00749,Acc00749.1
Acc00750,Acc00750.1
Acc00751,Acc00751.1
Acc00752,Acc00752.1
Acc00753,Acc00753.1
Acc00754,Acc00754.1
Acc00755,Acc00755.1
Acc00756,Acc00756.1
Acc00757,Acc00757.1
Acc00758,Acc00758.1
Acc00759,Acc00759.1
Acc00760,Acc00760.1
Acc00761,Acc00761.1
Acc00762,Acc00762.1
Acc00763,Acc00763.1
Acc00764,Acc00764.1
Acc00765,Acc00765.1
Acc00766,Acc00766.1
Acc00767,Acc00767.1
Acc00769,Acc00769.1
Acc00770,Acc00770.1
Acc00771,Acc00771.1
Acc00772,Acc00772.1
Acc00773,Acc00773.1
Acc00774,Acc00774.1
Acc00775,Acc00775.1
Acc00776,Acc00776.1
Acc00777,Acc00777.1
Acc00778,Acc00778.1
Acc00779,Acc00779.1
Acc00780,Acc00780.1
Acc00781,Acc00781.1
Acc00782,Acc00782.1
Acc00783,Acc00783.1
Acc00784,Acc00784.1
Acc00785,Acc00785.1
Acc00786,Acc00786.1
Acc00787,Acc00787.1
Acc00788,Acc00788.1
Acc00789,Acc00789.1
Acc00790,Acc00790.1
Acc00791,Acc00791.1
Acc00792,Acc00792.1
Acc00793,Acc00793.1
Acc00794,Acc00794.1
Acc00795,Acc00795.1
Acc00796,Acc00796.1
Acc00797,Acc00797.1
Acc00798,Acc00798.1
Acc00799,Acc00799.1
Acc00800,Acc00800.1
Acc00801,Acc00801.1
Acc00802,Acc00802.1
Acc00803,Acc00803.1
Acc00804,Acc00804.1
Acc00805,Acc00805.1
Acc00806,Acc00806.1
Acc00807,Acc00807.1
Acc00808,Acc00808.1
Acc00809,Acc00809.1
Acc00810,Acc00810.1
Acc00811,Acc00811.1
Acc00812,Acc00812.1
Acc00813,Acc00813.1
Acc00814,Acc00814.1
Acc00815,Acc00815.1
Acc00816,Acc00816.1
Acc00817,Acc00817.1
Acc00818,Acc00818.1
Acc00819,Acc00819.1
Acc00820,Acc00820.1
Acc00821,Acc00821.1
Acc00822,Acc00822.1
Acc00823,Acc00823.1
Acc00824,Acc00824.1
Acc00825,Acc00825.1
Acc00826,Acc00826.1
Acc00827,Acc00827.1
Acc00828,Acc00828.1
Acc00829,Acc00829.1
Acc00830,Acc00830.1
Acc00831,Acc00831.1
Acc00832,Acc00832.1
Acc00833,Acc00833.1
Acc00834,Acc00834.1
Acc00835,Acc00835.1
Acc00836,Acc00836.1
Acc00837,Acc00837.1
Acc00838,Acc00838.1
Acc00839,Acc00839.1
Acc00840,Acc00840.1
Acc00841,Acc00841.1
Acc00842,Acc00842.1
Acc00843,Acc00843.1
Acc00844,Acc00844.1
Acc00845,Acc00845.1
Acc00846,Acc00846.1
Acc00847,Acc00847.1
Acc00848,Acc00848.1
Acc00849,Acc00849.1
Acc00850,Acc00850.1
Acc00851,Acc00851.1
Acc00852,Acc00852.1
Acc00853,Acc00853.1
Acc00854,Acc00854.1
Acc00855,Acc00855.1
Acc00856,Acc00856.1
Acc00857,Acc00857.1
Acc00858,Acc00858.1
Acc00859,Acc00859.1
Acc00860,Acc00860.1
Acc00861,Acc00861.1
Acc00862,Acc00862.1
Acc00863,Acc00863.1
Acc00864,Acc00864.1
Acc00865,Acc00865.1
Acc00866,Acc00866.1
Acc00867,Acc00867.1
Acc00868,Acc00868.1
Acc00869,Acc00869.1
Acc00870,Acc00870.1
Acc00871,Acc00871.1
Acc00872,Acc00872.1
Acc00873,Acc00873.1
Acc00874,Acc00874.1
Acc00875,Acc00875.1
Acc00876,Acc00876.1
Acc00879,Acc00879.1
Acc00880,Acc00880.1
Acc00881,Acc00881.1
Acc00882,Acc00882.1
Acc00883,Acc00883.1
Acc00884,Acc00884.1
Acc00885,Acc00885.1
Acc00886,Acc00886.1
Acc00887,Acc00887.1
Acc00888,Acc00888.1
Acc00889,Acc00889.1
Acc00890,Acc00890.1
Acc00891,Acc00891.1
Acc00892,Acc00892.1
Acc00893,Acc00893.1
Acc00894,Acc00894.1
Acc00895,Acc00895.1
Acc00896,Acc00896.1
Acc00897,Acc00897.1
Acc00898,Acc00898.1
Acc00899,Acc00899.1
Acc00900,Acc00900.1
Acc00901,Acc00901.1
Acc00902,Acc00902.1
Acc00903,Acc00903.1
Acc00904,Acc00904.1
Acc00905,Acc00905.1
Acc00906,Acc00906.1
Acc00907,Acc00907.1
Acc00908,Acc00908.1
Acc00909,Acc00909.1
Acc00910,Acc00910.1
Acc00911,Acc00911.1
Acc00912,Acc00912.1
Acc00913,Acc00913.1
Acc00914,Acc00914.1
Acc00915,Acc00915.1
Acc00916,Acc00916.1
Acc00917,Acc00917.1
Acc00918,Acc00918.1
Acc00919,Acc00919.1
Acc00920,Acc00920.1
Acc00921,Acc00921.1
Acc00922,Acc00922.1
Acc00923,Acc00923.1
Acc00924,Acc00924.1
Acc00925,Acc00925.1
Acc00926,Acc00926.1
Acc00927,Acc00927.1
Acc00928,Acc00928.1
Acc00929,Acc00929.1
Acc00930,Acc00930.1
Acc00931,Acc00931.1
Acc00932,Acc00932.1
Acc00933,Acc00933.1
Acc00934,Acc00934.1
Acc00936,Acc00936.1
Acc00937,Acc00937.1
Acc00938,Acc00938.1
Acc00939,Acc00939.1
Acc00940,Acc00940.1
Acc00941,Acc00941.1
Acc00942,Acc00942.1
Acc00944,Acc00944.1
Acc00945,Acc00945.1
Acc00946,Acc00946.1
Acc00947,Acc00947.1
Acc00948,Acc00948.1
Acc00949,Acc00949.1
Acc00950,Acc00950.1
Acc00951,Acc00951.1
Acc00952,Acc00952.1
Acc00953,Acc00953.1
Acc00954,Acc00954.1
Acc00955,Acc00955.1
Acc00956,Acc00956.1
Acc00957,Acc00957.1
Acc00958,Acc00958.1
Acc00959,Acc00959.1
Acc00960,Acc00960.1
Acc00961,Acc00961.1
Acc00962,Acc00962.1
Acc00963,Acc00963.1
Acc00964,Acc00964.1
Acc00965,Acc00965.1
Acc00966,Acc00966.1
Acc00967,Acc00967.1
Acc00968,Acc00968.1
Acc00969,Acc00969.1
Acc00970,Acc00970.1
Acc00971,Acc00971.1
Acc00972,Acc00972.1
Acc00973,Acc00973.1
Acc00974,Acc00974.1
Acc00975,Acc00975.1
Acc00976,Acc00976.1
Acc00977,Acc00977.1
Acc00978,Acc00978.1
Acc00979,Acc00979.1
Acc00980,Acc00980.1
Acc00981,Acc00981.1
Acc00982,Acc00982.1
Acc00983,Acc00983.1
Acc00984,Acc00984.1
Acc00985,Acc00985.1
Acc00986,Acc00986.1
Acc00987,Acc00987.1
Acc00989,Acc00989.1
Acc00990,Acc00990.1
Acc00991,Acc00991.1
Acc00992,Acc00992.1
Acc00993,Acc00993.1
Acc00994,Acc00994.1
Acc00995,Acc00995.1
Acc00996,Acc00996.1
Acc00997,Acc00997.1
Acc00998,Acc00998.1
Acc00999,Acc00999.1
Acc01000,Acc01000.1
Acc01001,Acc01001.1
Acc01002,Acc01002.1
Acc01003,Acc01003.1
Acc01004,Acc01004.1
Acc01005,Acc01005.1
Acc01006,Acc01006.1
Acc01007,Acc01007.1
Acc01008,Acc01008.1
Acc01009,Acc01009.1
Acc01010,Acc01010.1
Acc01011,Acc01011.1
Acc01012,Acc01012.1
Acc01013,Acc01013.1
Acc01014,Acc01014.1
Acc01015,Acc01015.1
Acc01016,Acc01016.1
Acc01017,Acc01017.1
Acc01018,Acc01018.1
Acc01019,Acc01019.1
Acc01020,Acc01020.1
Acc01021,Acc01021.1
Acc01022,Acc01022.1
Acc01023,Acc01023.1
Acc01024,Acc01024.1
Acc01025,Acc01025.1
Acc01027,Acc01027.1
Acc01028,Acc01028.1
Acc01029,Acc01029.1
Acc01030,Acc01030.1
Acc01031,Acc01031.1
Acc01032,Acc01032.1
Acc01033,Acc01033.1
Acc01034,Acc01034.1
Acc01035,Acc01035.1
Acc01036,Acc01036.1
Acc01037,Acc01037.1
Acc01038,Acc01038.1
Acc01039,Acc01039.1
Acc01040,Acc01040.1
Acc01041,Acc01041.1
