Column name,Concentration (fmol)
Cucsa.000200,-0.06941366324562992
Cucsa.000210,-0.061278491223292875
Cucsa.000230,-0.06941366324562992
Cucsa.000250,0.012819418690148049
Cucsa.000290,-0.06889424850106181
Cucsa.001310,-0.04446426237883674
Cucsa.001320,-0.052633920319805794
Cucsa.001330,-0.05198912030001338
Cucsa.001340,0.03553969573503292
Cucsa.001360,0.08249362531962268
Cucsa.001370,-0.0633421635576363
Cucsa.001400,-0.06762040299558002
Cucsa.001410,-0.0581197596655751
Cucsa.002240,-0.06941366324562992
Cucsa.002260,-0.045639936540001924
Cucsa.002280,-0.03412986637108303
Cucsa.002290,-0.05290771148148951
Cucsa.002310,-0.068784332572617
Cucsa.002320,-0.04092728659034686
Cucsa.002330,-0.06941366324562992
Cucsa.002530,-0.06045114217408212
Cucsa.002540,-0.06685586278607063
Cucsa.002590,-0.05065039497794145
Cucsa.002600,-0.06407177784239984
Cucsa.002610,-0.06941366324562992
Cucsa.002620,-0.06276736363559446
Cucsa.002630,-0.019801187122776794
Cucsa.002640,-0.03968964840962144
Cucsa.002650,-0.059359935315474524
Cucsa.002660,-0.047995299829903845
Cucsa.002670,-0.068491671805097
Cucsa.002680,-0.060119520715851145
Cucsa.002880,-0.03268640592169501
Cucsa.002900,-0.048745783426020144
Cucsa.002920,-0.06915514407700991
Cucsa.002930,-0.05935866319107779
Cucsa.002940,-0.05828029273148616
Cucsa.002950,-0.0655606012478662
Cucsa.002960,-0.017256472088892624
Cucsa.002980,-0.06810466933060967
Cucsa.003190,-0.05776028627048139
Cucsa.003210,-0.061118875713656255
Cucsa.003220,0.6248127728731211
Cucsa.003230,-0.04493094647195306
Cucsa.003430,-0.05797780773814256
Cucsa.003830,-0.06787868060053283
Cucsa.003840,-0.00441542087366853
Cucsa.003850,-0.004171036598099712
Cucsa.003860,-0.06700100318972518
Cucsa.003880,-0.06252053387819342
Cucsa.003910,-0.047111045748238656
Cucsa.003950,-0.01785488299989057
Cucsa.003960,0.0021421909413003037
Cucsa.003970,0.024183311694568582
Cucsa.004190,-0.014335003278978908
Cucsa.004200,-0.0626598442671609
Cucsa.004230,0.11429535294667398
Cucsa.004430,-0.037896796593170266
Cucsa.004450,-0.06557887404273788
Cucsa.004460,-0.06218551273066738
Cucsa.004470,-0.05107872820790069
Cucsa.004500,-0.06557352413894431
Cucsa.004510,-0.06629072496837267
Cucsa.004520,-0.046031082684204465
Cucsa.004530,-0.038277735266391805
Cucsa.004580,-0.06938905615791133
Cucsa.004590,-0.06941366324562992
Cucsa.004610,-0.04739079728008677
Cucsa.004650,-0.0450180426871214
Cucsa.004660,0.010660953929240255
Cucsa.004670,-0.004557928252644547
Cucsa.004700,-0.06128393744139102
Cucsa.004920,-0.014419710966885144
Cucsa.004950,-0.04211691147456356
Cucsa.004960,-0.06775428963469368
Cucsa.005000,-0.05429045909945018
Cucsa.005010,-0.06468225334117088
Cucsa.005020,-0.052435319847934314
Cucsa.005030,-0.05162364895025144
Cucsa.005040,-0.014329817114233374
Cucsa.005050,-0.06451079970922911
Cucsa.005080,-0.04115678989245243
Cucsa.005090,-0.06520784720369228
Cucsa.005100,-0.06708762528231091
Cucsa.005110,-0.06786332437352041
Cucsa.005120,-0.05629264434340274
Cucsa.005130,0.05505032863978371
Cucsa.005150,-0.04969159238259534
Cucsa.005160,-0.04158423822070026
Cucsa.005170,-0.0646491078829454
Cucsa.005190,-0.05088286486900126
Cucsa.005210,-0.06941366324562992
Cucsa.005220,0.004998729267380292
Cucsa.005230,-0.054816132630876306
Cucsa.005240,-0.0638641646313124
Cucsa.005250,-0.06572039054888279
Cucsa.005260,-0.0660855426865024
Cucsa.005270,-0.04722903934525337
Cucsa.005280,0.37938133764155846
Cucsa.005290,-0.061282289687609987
Cucsa.005300,-0.05447169780577349
Cucsa.005310,-0.03061353911191498
Cucsa.005320,-0.05024557061948606
Cucsa.005330,0.015186734685268946
Cucsa.005350,-0.05893378154364934
Cucsa.005360,-0.04893765095444322
Cucsa.005370,-0.038656607238557836
Cucsa.005380,-0.0588744481763701
Cucsa.005390,-0.01614455388546067
Cucsa.005400,-0.02619376055249159
Cucsa.005410,-0.05992277382270267
Cucsa.005420,-0.06100497367566754
Cucsa.005430,-0.06907685587545846
Cucsa.005450,0.020528163324977783
Cucsa.005460,-0.047032043647141995
Cucsa.005470,-0.06471167213035303
Cucsa.005480,-0.05998408875611845
Cucsa.005490,-0.06941366324562992
Cucsa.005500,-0.030575869682563685
Cucsa.005510,-0.051349443605328005
Cucsa.005520,-0.04567375566297973
Cucsa.005560,-0.00015484582673862268
Cucsa.005570,-0.06793626815139113
Cucsa.005970,-0.06941366324562992
Cucsa.006180,-0.06360836488963259
Cucsa.006190,-0.050302927047058334
Cucsa.006220,-0.06744967616085815
Cucsa.006230,-0.04094452577388278
Cucsa.006240,-0.06675907044033719
Cucsa.006320,-0.046161968254050945
Cucsa.006340,-0.06938522390654532
Cucsa.006940,0.005911284054896659
Cucsa.007150,-0.0653612818601343
Cucsa.007160,-0.05320168119792104
Cucsa.007170,-0.03712311901144231
Cucsa.007220,-0.0067828230532574335
Cucsa.007240,0.08595942212193503
Cucsa.007250,-0.057582661748771746
Cucsa.007260,-0.052371683379940276
Cucsa.007270,-0.06502457474967267
Cucsa.007290,-0.06364365116702134
Cucsa.007300,-0.03688159824470618
Cucsa.007310,-0.06916365591310825
Cucsa.007320,-0.012457281853803001
Cucsa.007330,-0.025394952097596617
Cucsa.007340,-0.060105535275952415
Cucsa.007360,-0.06519311159931805
Cucsa.007380,-0.06694331526423458
Cucsa.007600,0.0107524680737726
Cucsa.007800,-0.06752526150610093
Cucsa.007810,-0.0017847955208969146
Cucsa.007830,-0.04792373378156912
Cucsa.007840,0.07741347365923587
Cucsa.007850,-0.035242884145695784
Cucsa.008070,-0.06454256417767326
Cucsa.008480,-0.06941366324562992
Cucsa.008880,-0.03931175354529132
Cucsa.008890,-0.05882643110694039
Cucsa.008900,-0.06939525431293009
Cucsa.008910,-0.06941366324562992
Cucsa.009110,-0.06941366324562992
Cucsa.009120,-0.06941366324562992
Cucsa.009140,0.01270796650058427
Cucsa.009150,-0.06941366324562992
Cucsa.009170,-0.06567338591240422
Cucsa.009180,0.0009535549588348541
Cucsa.009190,-0.061682892798091186
Cucsa.009200,-0.054794709865139915
Cucsa.009210,-0.005571882177699605
Cucsa.009220,-0.06923054550119075
Cucsa.009230,-0.051747610122016494
Cucsa.009260,-0.0685829580863379
Cucsa.009280,-0.06941366324562992
Cucsa.009290,-0.05718332547229765
Cucsa.009300,-0.002864934268922606
Cucsa.009330,-0.06941366324562992
Cucsa.009340,-0.06941366324562992
Cucsa.009350,-0.06941366324562992
Cucsa.009360,-0.06941366324562992
Cucsa.009370,-0.06796834901424642
Cucsa.010570,-0.057710451943264816
Cucsa.010580,0.15763665945267993
Cucsa.010590,0.09726030860332152
Cucsa.010600,1.2754602927735572
Cucsa.010610,-0.04455654051120628
Cucsa.010650,-0.04981377551292744
Cucsa.010670,-0.056943329744751484
Cucsa.010680,0.12793467998630234
Cucsa.010690,-0.04726294623371083
Cucsa.010710,-0.06941366324562992
Cucsa.010720,-0.06935216848070631
Cucsa.010740,-0.06801848043085525
Cucsa.010800,0.0018347175762898765
Cucsa.010820,-0.06786041819739477
Cucsa.010840,-0.047709707634232615
Cucsa.010860,-0.0492037091275614
Cucsa.010870,-0.0675897236567496
Cucsa.010880,-0.05820790700550652
Cucsa.010890,-0.06924671074346396
Cucsa.010900,-0.05833380242500281
Cucsa.010910,-0.0681632912920305
Cucsa.010920,-0.05724735865435698
Cucsa.010930,-0.06762978558762467
