"","V1","V2","V3","V4"
"start_prot",2.87209883397177,2.87209881004563,2.87209882069241,2.87209881357511
"ks",-0.0143493124753668,-0.0143493112182447,-0.0143493117774589,-0.0143493114053205
"kd",-0.0390814336635403,-0.0390814330623158,-0.0390814333297396,-0.0390814331519528
