"","V1","V2","V3","V4"
"start_prot",0.855570479450522,0.855570472201224,0.855570452160651,0.855570463901694
"ks",0.504928058874191,0.50492805659902,0.504928060120374,0.5049280618813
"kd",0.354605138769485,0.354605136921231,0.354605139654971,0.354605141187262
