Column name,Concentration (fmol)
Cucsa.000200,-0.21280703818689936
Cucsa.000210,-0.20873815634493362
Cucsa.000230,-0.21280703818689936
Cucsa.000250,-0.18588372262220376
Cucsa.000290,-0.21252419311202406
Cucsa.001310,-0.20061826978472425
Cucsa.001320,-0.20569775148053124
Cucsa.001330,-0.20311144622622326
Cucsa.001340,-0.21192842182814475
Cucsa.001360,-0.2091337796292355
Cucsa.001370,-0.20984259447242856
Cucsa.001400,-0.21271958933407048
Cucsa.001410,-0.20533948873322855
Cucsa.002240,-0.21280703818689936
Cucsa.002260,-0.2009718496678304
Cucsa.002280,-0.19547708793835966
Cucsa.002290,-0.20392648609909825
Cucsa.002310,-0.21280703818689936
Cucsa.002320,-0.20198697851841527
Cucsa.002330,-0.21280703818689936
Cucsa.002530,-0.20244710556622875
Cucsa.002540,-0.2113477711800202
Cucsa.002590,-0.20657565059617158
Cucsa.002600,-0.20375428310477198
Cucsa.002610,-0.21280703818689936
Cucsa.002620,-0.18878515469994278
Cucsa.002630,-0.14552486263400172
Cucsa.002640,-0.2021888084225121
Cucsa.002650,-0.20403316864483553
Cucsa.002660,-0.18819263264183758
Cucsa.002670,-0.21220455839803903
Cucsa.002680,-0.20510755071570136
Cucsa.002880,-0.207941870066417
Cucsa.002900,-0.2088376719636293
Cucsa.002920,-0.21280703818689936
Cucsa.002930,-0.20797883640336937
Cucsa.002940,-0.20646550822452162
Cucsa.002950,-0.2105639054129651
Cucsa.002960,-0.19484059291175285
Cucsa.002980,-0.2096706872507363
Cucsa.003190,-0.055505395765039135
Cucsa.003210,-0.2043917853491453
Cucsa.003220,-0.1316146777886596
Cucsa.003230,-0.20486160889818736
Cucsa.003430,-0.19247402891322912
Cucsa.003830,-0.21201797858140195
Cucsa.003840,-0.18967292999797572
Cucsa.003850,-0.19189214662229337
Cucsa.003860,-0.2007200441307289
Cucsa.003880,-0.20973264132241626
Cucsa.003910,-0.20787568660274425
Cucsa.003950,-0.17797466318801777
Cucsa.003960,-0.17404808266566135
Cucsa.003970,-0.11108074161341525
Cucsa.004190,-0.09593877423142433
Cucsa.004200,-0.20437540206577445
Cucsa.004230,-0.15236906040359716
