,Read	HTSeq,HTSeq,HTSeq,HTSeq
,Actinidia00149.t1	131,132,88,199
,Actinidia00150.t1	3787,5129,3156,3223
,Actinidia00151.t1	473,580,359,517
,Actinidia00152.t2	4055,5624,3776,4468
,Actinidia00153.t1	12575,17091,10711,13012
,Actinidia00154.t1	357,507,316,792
,Actinidia00155.t1	529,631,429,155
,Actinidia00156.t1	1662,2353,1550,1336
,Actinidia00157.t1	1558,1996,1439,1249
,Actinidia00158.t1	0,0,0,2
,Actinidia00159.t1	267,420,240,226
,Actinidia00160.t1	446,678,409,378
,Actinidia00161.t1	455,585,437,350
,Actinidia00162.t1	0,0,0,0
,Actinidia00163.t1	0,0,0,0
,Actinidia00164.t2	1147,1520,1105,1014
,Actinidia00165.t1	407,540,426,214
,Actinidia00166.t1	2683,3264,2217,1394
,Actinidia00167.t1	3314,3860,2550,1985
,Actinidia00168.t1	366,398,233,241
,Actinidia00169.t1	0,0,0,0
,Actinidia00170.t1	630,936,599,555
,Actinidia00171.t2	1910,2652,1809,909
,Actinidia00172.t1	967,1216,815,560
,Actinidia00173.t1	982,1069,782,364
,Actinidia00174.t2	332,497,349,348
,Actinidia00175.t1	82,122,63,66
,Actinidia00176.t1	984,1284,880,838
,Actinidia00177.t1	3512,5230,3220,2306
,Actinidia00178.t1	246,383,257,59
,Actinidia00179.t1	3,17,9,5
,Actinidia00180.t1	2202,2994,1752,936
,Actinidia00181.t1	575,590,406,350
,Actinidia00182.t2	4014,5032,3433,2049
,Actinidia00183.t1	4956,6793,4230,3123
,Actinidia00184.t1	0,0,0,0
,Actinidia00185.t1	2548,3399,2380,2043
,Actinidia00186.t2	1678,2082,1284,1467
,Actinidia00187.t1	1477,2750,1607,1083
,Actinidia00188.t1	172,290,198,312
,Actinidia00189.t1	2091,2805,1807,1322
,Actinidia00190.t1	0,0,0,0
,Actinidia00191.t1	247,299,181,188
,Actinidia00192.t1	544,762,544,629
,Actinidia00193.t1	32,34,13,40
,Actinidia00194.t4	529,738,425,318
,Actinidia00195.t1	14690,16900,10483,11363
,Actinidia00196.t1	2295,3870,2329,2676
,Actinidia00197.t1	189,231,191,93
,Actinidia00198.t1	0,0,0,0
,Actinidia00199.t2	9009,13079,8013,4603
,Actinidia00200.t1	317,508,359,224
,Actinidia00201.t1	130,120,108,373
,Actinidia00202.t1	4030,4922,3073,6844
,Actinidia00203.t1	236,284,165,17
