,Read	HTSeq,HTSeq,HTSeq,HTSeq
,Actinidia03964.t1	142,183,119,247
,Actinidia03965.t1	1065,1175,688,419
,Actinidia03966.t1	4,5,7,0
,Actinidia03967.t1	2729,3488,2331,1995
,Actinidia03968.t1	1836,2356,1520,1149
,Actinidia03969.t1	539,698,367,423
,Actinidia03970.t1	33,42,39,18
,Actinidia03971.t1	67,116,56,46
,Actinidia03972.t1	165,206,130,102
,Actinidia03973.t1	243,306,156,174
,Actinidia03974.t1	393,477,303,256
,Actinidia03975.t1	55,70,52,41
,Actinidia03976.t1	126,202,150,240
,Actinidia03977.t1	2,4,7,8
,Actinidia03978.t1	0,0,0,0
,Actinidia03979.t1	0,0,0,0
,Actinidia03980.t1	1,0,0,1
,Actinidia03981.t1	51,91,43,14
,Actinidia03982.t2	81,124,88,69
,Actinidia03983.t1	76,165,113,51
,Actinidia03984.t1	50,65,42,26
,Actinidia03985.t1	0,3,2,3
,Actinidia03986.t1	36,47,30,10
,Actinidia03987.t1	2,3,0,0
,Actinidia03988.t1	181,145,112,42
,Actinidia03989.t1	258,275,202,90
,Actinidia03991.t1	45,63,35,23
,Actinidia03992.t1	333,445,276,146
,Actinidia03993.t1	171,244,158,80
,Actinidia03994.t1	0,0,0,0
,Actinidia03995.t2	455,634,419,494
,Actinidia03996.t1	18,45,5,7
,Actinidia03997.t1	11,4,0,0
,Actinidia03998.t1	130,130,119,76
,Actinidia03999.t1	539,639,384,406
,Actinidia04000.t1	19,50,24,199
,Actinidia04001.t1	1,0,0,2
,Actinidia04002.t1	0,0,0,0
,Actinidia04004.t1	47,57,26,97
,Actinidia04005.t2	66,96,78,128
,Actinidia04006.t1	0,0,0,0
,Actinidia04007.t1	0,0,0,0
,Actinidia04008.t1	19,58,29,14
,Actinidia04009.t1	28,34,18,12
,Actinidia04010.t1	9,8,13,6
,Actinidia04011.t1	280,338,237,132
,Actinidia04012.t1	70,125,87,41
,Actinidia04013.t1	31,56,25,20
,Actinidia04014.t1	0,0,0,0
,Actinidia04015.t2	4696,6534,4119,3329
,Actinidia04016.t1	106,139,84,69
,Actinidia04017.t1	19,12,5,5
,Actinidia04018.t1	1,0,1,1
,Actinidia04019.t1	0,0,1,1
,Actinidia04020.t1	1494,2163,1459,480
,Actinidia04021.t1	1314,1724,1202,954
,Actinidia04022.t1	14,2,9,8
,Actinidia04023.t1	7,12,4,6
,Actinidia04024.t1	0,3,0,0
,Actinidia04025.t1	182,238,162,67
,Actinidia04026.t1	10,13,18,34
,Actinidia04027.t1	0,0,0,0
,Actinidia04028.t2	1510,2377,1476,1321
,Actinidia04029.t1	165,183,161,384
,Actinidia04030.t2	0,4,0,0
,Actinidia04031.t1	0,1,0,0
,Actinidia04032.t1	0,1,0,1
,Actinidia04033.t1	175,238,142,134
,Actinidia04034.t1	91,133,114,98
,Actinidia04035.t1	9,13,9,7
,Actinidia04036.t1	769,977,642,807
,Actinidia04037.t1	7,5,2,0
,Actinidia04038.t1	107,185,86,878
,Actinidia04039.t1	1,2,1,0
,Actinidia04040.t1	870,963,678,784
,Actinidia04041.t1	8549,10683,7002,9390
,Actinidia04042.t1	355,443,246,302
,Actinidia04043.t1	0,0,0,0
,Actinidia04044.t1	443,581,347,826
,Actinidia04045.t1	0,0,0,0
,Actinidia04046.t1	0,0,0,0
,Actinidia04047.t1	0,3,0,10
,Actinidia04048.t1	2,0,0,3
,Actinidia04049.t1	130,185,136,147
,Actinidia04050.t1	194,299,170,166
,Actinidia04051.t1	186,347,185,55
,Actinidia04052.t1	4761,5967,4243,3135
,Actinidia04053.t1	51,97,69,55
,Actinidia04054.t1	602,725,491,351
,Actinidia04055.t1	4,5,3,6
,Actinidia04056.t1	0,5,0,7
,Actinidia04057.t1	2327,2553,1928,1750
,Actinidia04058.t1	1455,2164,1119,969
,Actinidia04059.t1	0,0,0,0
,Actinidia04060.t1	666,909,570,528
,Actinidia04061.t1	26,21,14,12
,Actinidia04062.t1	221,323,265,154
,Actinidia04063.t1	3742,4836,3174,2346
,Actinidia04064.t1	0,0,0,0
,Actinidia04065.t1	366,497,429,466
,Actinidia04066.t1	100,149,63,63
,Actinidia04067.t2	1385,1934,1394,1000
,Actinidia04068.t1	0,0,4,0
,Actinidia04069.t1	236,284,193,2117
,Actinidia04070.t1	0,0,0,0
,Actinidia04071.t1	6482,7654,5139,4129
,Actinidia04072.t1	91,123,119,58
,Actinidia04073.t1	2209,2767,1913,1350
,Actinidia04074.t1	1141,1759,906,846
,Actinidia04075.t1	269,391,254,185
,Actinidia04076.t1	0,0,0,0
,Actinidia04077.t1	0,0,0,0
,Actinidia04078.t1	0,0,0,0
,Actinidia04079.t3	3713,4438,3170,1814
,Actinidia04080.t1	18335,23071,14750,20947
,Actinidia04081.t1	0,0,0,0
,Actinidia04082.t1	95,132,72,103
,Actinidia04083.t1	0,0,0,0
,Actinidia04084.t1	0,0,0,0
,Actinidia04085.t1	51,63,34,58
,Actinidia04086.t1	3,2,7,1
,Actinidia04087.t1	0,2,0,0
,Actinidia04088.t1	97,94,109,135
,Actinidia04089.t1	121,212,101,136
,Actinidia04090.t1	4,4,1,3
,Actinidia04091.t1	653,1024,549,492
,Actinidia04092.t1	176,172,128,202
,Actinidia04093.t1	725,922,657,791
,Actinidia04095.t1	0,2,2,1
,Actinidia04096.t1	7028,4289,3182,1861
,Actinidia04097.t3	3022,4259,2647,2468
,Actinidia04098.t1	0,6,1,0
,Actinidia04099.t1	72,115,44,79
,Actinidia04100.t1	4025,5032,3452,2747
,Actinidia04101.t2	2102,2725,2077,1651
,Actinidia04102.t1	4897,6187,4180,1839
,Actinidia04103.t1	2571,3467,2455,2108
,Actinidia04104.t1	338,476,291,250
,Actinidia04105.t1	438,526,324,324
,Actinidia04106.t1	39,59,49,291
,Actinidia04107.t1	0,0,0,0
,Actinidia04108.t1	6215,7775,5017,5259
,Actinidia04109.t1	0,0,0,0
,Actinidia04110.t1	0,0,0,0
,Actinidia04111.t1	9,1,5,0
,Actinidia04112.t1	3951,4795,3122,1367
,Actinidia04113.t1	3629,5087,2969,643
,Actinidia04114.t1	2655,3881,2528,1416
,Actinidia04115.t1	0,0,0,0
,Actinidia04116.t1	52,84,63,107
,Actinidia04117.t1	446,750,426,290
,Actinidia04118.t1	0,0,0,0
,Actinidia04119.t1	7297,12263,7636,2340
,Actinidia04120.t1	2274,3157,2361,1843
,Actinidia04121.t1	261,307,178,196
,Actinidia04122.t1	4436,5716,4073,2728
,Actinidia04123.t1	140,187,150,143
,Actinidia04124.t1	140,146,143,534
,Actinidia04125.t1	0,1,0,0
,Actinidia04126.t1	177,256,172,136
,Actinidia04127.t1	3,4,4,2
,Actinidia04128.t1	2,12,7,0
,Actinidia04129.t1	1142,1492,971,819
,Actinidia04130.t1	12161,15630,10546,5992
,Actinidia04131.t2	4985,6505,4370,3292
,Actinidia04132.t1	31,28,15,16
,Actinidia04133.t1	1947,2499,1700,1466
,Actinidia04134.t2	5145,7408,4594,3460
,Actinidia04135.t1	0,0,0,1
,Actinidia04136.t1	2457,2874,2130,1432
,Actinidia04137.t1	0,0,0,0
,Actinidia04138.t1	1,7,1,0
,Actinidia04139.t1	476,645,429,548
,Actinidia04140.t1	4,2,0,0
,Actinidia04141.t1	293,481,271,416
,Actinidia04142.t1	511,623,435,274
,Actinidia04143.t1	0,0,0,0
,Actinidia04144.t1	163,129,150,120
,Actinidia04145.t1	0,0,0,0
,Actinidia04146.t1	0,0,0,0
,Actinidia04147.t1	2,6,0,227
,Actinidia04148.t1	0,0,0,0
,Actinidia04149.t1	2175,2506,1748,710
,Actinidia04150.t1	0,1,0,0
,Actinidia04151.t1	0,0,0,0
,Actinidia04152.t1	892,1182,830,947
,Actinidia04153.t1	0,0,0,0
,Actinidia04154.t1	1175,1679,1007,2952
,Actinidia04155.t1	348,514,393,193
,Actinidia04156.t1	177,198,134,192
,Actinidia04157.t1	0,0,0,0
,Actinidia04158.t2	1,3,0,0
,Actinidia04159.t1	25,30,11,8
,Actinidia04160.t1	1607,1994,1358,1264
,Actinidia04161.t1	746,953,653,628
,Actinidia04162.t1	209,221,141,73
,Actinidia04163.t1	219,316,221,159
,Actinidia04164.t1	1521,1739,1208,1310
,Actinidia04165.t1	50,51,52,36
,Actinidia04166.t1	585,666,559,462
,Actinidia04167.t1	37,37,21,52
,Actinidia04168.t1	11,11,21,36
,Actinidia04169.t1	602,732,423,354
,Actinidia04170.t1	520,584,490,334
,Actinidia04171.t1	1312,1616,1026,669
,Actinidia04172.t1	338,437,382,1116
,Actinidia04173.t1	0,0,0,0
,Actinidia04174.t2	1150,1549,858,985
,Actinidia04175.t1	0,0,0,0
,Actinidia04176.t1	1,1,0,0
,Actinidia04177.t1	0,0,0,0
,Actinidia04178.t1	0,0,0,0
,Actinidia04179.t1	0,0,0,0
,Actinidia04180.t1	831,1081,826,518
,Actinidia04181.t1	210,170,233,182
,Actinidia04182.t1	229,347,217,103
,Actinidia04183.t1	56,67,70,25
,Actinidia04184.t1	54,101,54,20
,Actinidia04185.t1	111,163,92,32
,Actinidia04186.t1	828,1158,675,17817
,Actinidia04187.t1	0,2,0,1
,Actinidia04188.t1	1710,2102,1475,948
,Actinidia04189.t1	5,17,9,5
,Actinidia04190.t1	4786,6992,4316,6571
,Actinidia04191.t1	771,909,699,361
,Actinidia04192.t1	602,753,512,411
,Actinidia04193.t1	4670,6371,4400,3647
,Actinidia04194.t1	4,8,6,8
,Actinidia04195.t1	127,125,105,118
,Actinidia04196.t1	18,36,30,1
,Actinidia04197.t3	713,898,594,722
,Actinidia04198.t1	652,798,647,242
,Actinidia04199.t1	5090,6204,4137,2473
,Actinidia04200.t1	573,630,570,202
,Actinidia04201.t4	4311,4977,3519,2049
,Actinidia04202.t1	353,562,303,236
,Actinidia04203.t1	3,1,4,5
,Actinidia04204.t1	923,1233,896,598
,Actinidia04205.t1	20,17,12,1
,Actinidia04206.t1	0,1,0,0
,Actinidia04207.t1	438,577,445,375
,Actinidia04208.t1	0,0,0,0
,Actinidia04209.t1	280,363,210,28
,Actinidia04210.t1	522,749,413,190
,Actinidia04211.t1	21,21,20,32
,Actinidia04212.t1	21,28,10,32
,Actinidia04213.t1	8158,11956,7361,5956
,Actinidia04214.t1	646,959,496,275
,Actinidia04215.t1	2066,2874,1782,1138
,Actinidia04216.t1	0,0,0,0
,Actinidia04217.t1	40,106,64,86
,Actinidia04218.t1	3338,4006,2831,4128
,Actinidia04219.t2	1247,1541,1016,1539
,Actinidia04220.t1	3680,4364,2883,2565
,Actinidia04221.t1	1237,1653,1107,998
,Actinidia04222.t1	1273,1494,1055,1146
,Actinidia04223.t1	243,312,234,228
,Actinidia04224.t1	21,13,32,29
,Actinidia04225.t1	0,0,0,0
,Actinidia04226.t1	254,270,201,177
,Actinidia04227.t1	75,149,100,105
,Actinidia04228.t1	7,19,8,13
,Actinidia04229.t1	0,0,1,0
,Actinidia04230.t1	1,0,7,4
,Actinidia04231.t1	511,573,446,352
,Actinidia04232.t1	1096,1484,1040,2095
,Actinidia04233.t2	1146,1374,953,1127
,Actinidia04234.t1	0,0,0,0
,Actinidia04235.t1	38,73,31,12
,Actinidia04236.t1	11,11,9,6
,Actinidia04237.t1	29,10,25,11
,Actinidia04238.t1	8,11,6,722
,Actinidia04239.t1	283,261,149,134
,Actinidia04240.t1	208,298,202,174
,Actinidia04241.t1	1254,1411,903,740
,Actinidia04242.t1	3381,4460,3019,1623
,Actinidia04243.t1	253,322,305,141
,Actinidia04244.t1	228,395,233,146
,Actinidia04245.t1	155,1069,163,63
,Actinidia04246.t2	3632,6528,3696,1714
,Actinidia04247.t1	21,21,21,7
,Actinidia04248.t1	0,0,0,0
,Actinidia04249.t1	12,12,8,8
,Actinidia04250.t1	35,31,20,13
,Actinidia04251.t3	5775,7383,5185,3433
,Actinidia04252.t1	4443,5498,3581,4233
,Actinidia04253.t1	0,0,0,0
,Actinidia04254.t1	0,0,0,0
,Actinidia04255.t1	73,147,91,48
,Actinidia04256.t1	3,0,1,0
,Actinidia04257.t4	3301,4551,3365,1766
,Actinidia04258.t1	950,1329,764,610
,Actinidia04259.t1	0,0,0,0
,Actinidia04260.t3	81,55,53,44
,Actinidia04261.t1	1,0,0,2
,Actinidia04262.t1	1,4,1,0
,Actinidia04263.t1	314,527,354,189
,Actinidia04264.t1	219,358,186,528
,Actinidia04265.t1	0,0,0,0
,Actinidia04266.t1	0,0,0,0
,Actinidia04267.t1	0,0,0,0
,Actinidia04268.t1	1,9,1,0
,Actinidia04269.t1	992,1270,953,411
,Actinidia04270.t1	374,473,277,834
,Actinidia04271.t1	745,841,589,374
,Actinidia04272.t1	1087,1623,972,568
,Actinidia04273.t1	192,297,182,187
,Actinidia04274.t1	801,888,603,761
,Actinidia04275.t1	161,183,150,175
,Actinidia04276.t1	1540,2053,1413,928
,Actinidia04277.t2	89,130,104,49
,Actinidia04278.t1	13,23,1,5
,Actinidia04279.t1	25,21,19,21
,Actinidia04280.t1	146,159,81,32
,Actinidia04281.t1	22,46,29,44
,Actinidia04282.t1	3842,5289,3499,2778
,Actinidia04283.t1	404,363,323,290
,Actinidia04284.t1	1569,1948,1365,1038
,Actinidia04285.t1	4422,6287,3838,2711
,Actinidia04286.t1	404,444,370,394
,Actinidia04287.t1	2373,2999,2198,1269
,Actinidia04288.t1	571,902,572,602
,Actinidia04289.t1	0,0,0,0
,Actinidia04290.t1	21084,33593,19096,10965
,Actinidia04291.t1	5788,7966,4898,5390
,Actinidia04292.t1	1741,2527,1435,701
,Actinidia04293.t1	2468,3156,2077,1178
,Actinidia04294.t1	80,154,88,43
,Actinidia04295.t2	5995,8347,5555,4456
,Actinidia04296.t1	2298,3012,1966,2068
,Actinidia04297.t1	1200,1592,1094,733
,Actinidia04298.t1	718,978,776,634
,Actinidia04299.t1	889,1109,701,640
,Actinidia04300.t1	127,162,97,75
,Actinidia04301.t1	600,924,598,460
,Actinidia04302.t1	61,87,72,52
,Actinidia04303.t1	1774,2540,1621,1219
,Actinidia04304.t1	6035,9056,5697,5382
,Actinidia04305.t1	74,65,47,46
,Actinidia04306.t1	109,214,182,138
,Actinidia04307.t2	32755,42681,27695,23221
,Actinidia04308.t1	7496,9775,6112,4669
,Actinidia04309.t1	7900,11455,6618,5877
,Actinidia04310.t1	0,5,0,0
,Actinidia04311.t2	829,1408,650,704
,Actinidia04312.t3	4951,5996,4312,3377
,Actinidia04313.t2	2752,3898,2703,1657
,Actinidia04314.t1	185,208,88,16
,Actinidia04315.t1	2957,4013,2604,2114
,Actinidia04316.t2	3927,5341,3376,2126
,Actinidia04317.t1	2643,3031,2291,2228
,Actinidia04318.t1	744,912,670,868
,Actinidia04319.t1	553,542,390,114
,Actinidia04320.t1	0,0,0,0
,Actinidia04321.t2	9400,12034,7819,8756
,Actinidia04322.t1	4705,7066,4003,3067
,Actinidia04323.t2	920,1147,745,560
,Actinidia04324.t2	3612,5364,3339,2538
,Actinidia04325.t1	1641,2274,1384,885
,Actinidia04326.t1	802,1097,681,460
,Actinidia04327.t1	449,482,395,258
,Actinidia04328.t1	0,0,0,0
,Actinidia04329.t1	261,935,322,510
,Actinidia04330.t1	1,7,16,1
,Actinidia04331.t1	1854,2664,1812,1379
,Actinidia04332.t1	508,572,373,589
,Actinidia04333.t1	2101,2754,1829,1547
,Actinidia04334.t1	1774,2394,1590,1552
,Actinidia04335.t2	7967,11387,7292,9437
,Actinidia04336.t1	1652,2079,1489,1249
,Actinidia04337.t1	0,0,0,0
,Actinidia04338.t1	1163,1458,992,800
,Actinidia04339.t1	1382,2107,1168,1150
,Actinidia04340.t1	946,1226,796,657
,Actinidia04341.t1	0,0,0,0
,Actinidia04342.t1	6,17,3,13
,Actinidia04343.t1	703,804,671,459
,Actinidia04344.t1	44,90,49,44
,Actinidia04345.t1	418,524,407,375
,Actinidia04346.t1	1195,1592,1090,1060
,Actinidia04347.t1	17,12,12,32
,Actinidia04348.t1	0,1,0,0
,Actinidia04349.t1	276,396,239,257
,Actinidia04350.t4	176,192,123,101
,Actinidia04351.t1	187,164,102,67
,Actinidia04352.t1	30,26,30,24
,Actinidia04353.t1	1050,1421,867,516
,Actinidia04354.t1	96,139,111,59
,Actinidia04355.t1	591,642,524,450
,Actinidia04356.t1	471,686,440,443
,Actinidia04357.t1	0,4,2,2
,Actinidia04358.t1	3192,4155,2885,2622
,Actinidia04359.t1	290,383,257,189
,Actinidia04360.t1	2661,3192,2083,2274
,Actinidia04361.t1	2470,2993,1944,2371
,Actinidia04362.t1	0,1,0,0
,Actinidia04363.t1	172,281,133,104
,Actinidia04364.t1	1338,1716,1066,769
,Actinidia04365.t1	276,412,250,52
,Actinidia04366.t1	6595,8187,5391,4026
,Actinidia04367.t1	288,351,271,286
,Actinidia04368.t1	1693,2175,1414,857
,Actinidia04369.t1	4625,6048,4119,3143
,Actinidia04370.t1	1550,2231,1456,1478
,Actinidia04371.t1	35233,43077,28950,22294
,Actinidia04372.t1	9625,12058,7784,8498
,Actinidia04373.t1	0,2,3,2
,Actinidia04374.t1	0,1,4,18
,Actinidia04375.t1	342,548,352,450
,Actinidia04376.t1	542,783,523,307
,Actinidia04377.t1	966,1450,1056,708
,Actinidia04378.t1	268,309,266,164
,Actinidia04379.t1	759,1217,711,525
,Actinidia04380.t1	8419,10747,7416,4188
,Actinidia04381.t1	978,1308,959,871
,Actinidia04382.t1	135,184,123,139
,Actinidia04383.t1	3,2,1,0
,Actinidia04384.t1	0,0,0,0
,Actinidia04385.t1	4240,5536,3814,2895
,Actinidia04386.t1	0,0,0,1
,Actinidia04387.t1	83,77,80,48
,Actinidia04388.t2	5670,7209,5069,3426
,Actinidia04389.t1	4623,6156,4173,2459
,Actinidia04390.t1	309,310,276,358
,Actinidia04391.t1	104,159,76,104
,Actinidia04392.t1	2824,4011,2552,1574
,Actinidia04393.t2	1292,1672,1051,3605
,Actinidia04394.t1	133,216,139,115
,Actinidia04395.t1	378,472,244,21
,Actinidia04396.t1	49,77,50,35
,Actinidia04397.t1	1271,1664,1157,971
,Actinidia04398.t1	87,158,86,41
,Actinidia04399.t1	4,0,0,0
,Actinidia04400.t1	2005,2414,1804,907
,Actinidia04401.t1	11,15,1,1
,Actinidia04402.t1	0,1,0,0
,Actinidia04403.t1	10,14,6,0
,Actinidia04404.t1	2307,2871,2106,1290
,Actinidia04405.t1	771,997,714,540
,Actinidia04406.t1	0,0,1,0
,Actinidia04407.t1	145,192,131,73
,Actinidia04408.t1	1209,1573,986,451
,Actinidia04409.t1	545,643,452,265
,Actinidia04410.t1	4,1,3,2
,Actinidia04411.t1	545,815,477,488
,Actinidia04412.t1	0,0,0,0
,Actinidia04413.t1	1468,1694,1242,1047
,Actinidia04414.t1	57,97,20,2
,Actinidia04415.t1	86,91,104,247
,Actinidia04416.t1	25,38,19,11
,Actinidia04417.t1	0,0,0,0
,Actinidia04418.t1	0,0,0,0
,Actinidia04419.t1	1,2,1,1
,Actinidia04420.t1	0,0,0,0
,Actinidia04421.t1	34,55,32,31
,Actinidia04422.t1	1584,2013,1275,1233
,Actinidia04423.t1	5211,6564,4633,3000
,Actinidia04424.t1	28,28,13,37
,Actinidia04425.t1	34,31,18,51
,Actinidia04426.t1	0,0,0,0
,Actinidia04427.t1	538,844,597,1140
,Actinidia04428.t1	5727,7795,5081,4064
,Actinidia04430.t1	0,0,0,0
,Actinidia04431.t1	224,444,348,183
,Actinidia04432.t1	11,45,25,38
,Actinidia04433.t1	20,57,14,0
,Actinidia04434.t1	61,94,100,11
,Actinidia04435.t1	42,22,30,47
,Actinidia04436.t1	2273,5141,2820,2210
,Actinidia04437.t1	1716,2128,1302,1319
,Actinidia04438.t1	1504,1796,1298,975
,Actinidia04439.t2	1992,2636,1661,1678
,Actinidia04440.t1	0,0,1,6
,Actinidia04441.t1	1079,1495,1040,107
,Actinidia04442.t1	4393,5541,3261,3610
,Actinidia04443.t1	0,1,1,0
,Actinidia04444.t1	4640,6030,3991,2677
,Actinidia04445.t1	7554,10219,7096,8202
,Actinidia04446.t1	6,8,7,0
,Actinidia04447.t1	136,290,199,51
,Actinidia04448.t1	1852,2685,1951,1141
,Actinidia04449.t1	0,3,2,6
,Actinidia04450.t1	0,0,0,0
,Actinidia04451.t1	1702,2155,1594,1069
,Actinidia04452.t1	0,0,0,0
,Actinidia04453.t1	54,78,56,0
,Actinidia04454.t1	82,172,88,285
,Actinidia04455.t1	466,606,378,378
,Actinidia04456.t1	21,25,8,12
,Actinidia04457.t1	2,1,0,1
,Actinidia04458.t1	11,14,4,0
,Actinidia04459.t1	1726,2473,2017,1033
,Actinidia04460.t1	3,8,1,4
,Actinidia04461.t1	9,5,4,2
,Actinidia04462.t1	211,323,173,113
,Actinidia04463.t1	1763,4688,2182,808
,Actinidia04464.t1	4725,6073,4130,3229
,Actinidia04465.t1	966,1197,887,1045
,Actinidia04466.t1	1514,2188,1535,1204
,Actinidia04467.t1	46,59,40,28
,Actinidia04468.t1	50,42,32,77
,Actinidia04469.t1	331,355,207,210
,Actinidia04470.t1	774,983,619,644
,Actinidia04471.t1	2550,3421,1978,1509
,Actinidia04472.t1	927,1128,878,608
,Actinidia04473.t1	628,879,608,407
,Actinidia04474.t1	100,116,59,100
,Actinidia04475.t1	981,1169,641,753
,Actinidia04476.t1	2227,2765,1714,1785
,Actinidia04477.t2	3406,5781,3409,2738
,Actinidia04478.t2	709,814,477,99
,Actinidia04479.t1	3729,6213,3915,3981
,Actinidia04480.t1	1969,2741,1783,1354
,Actinidia04481.t1	46,59,46,91
,Actinidia04482.t1	19,27,23,24
,Actinidia04483.t1	23,34,26,40
,Actinidia04484.t1	116,166,119,67
,Actinidia04485.t1	1,6,1,5
,Actinidia04486.t1	1,3,1,0
,Actinidia04487.t1	3986,4966,3567,2498
,Actinidia04488.t1	1527,2019,1254,1055
,Actinidia04489.t1	6282,7857,6049,1291
,Actinidia04490.t1	25,36,32,27
,Actinidia04491.t1	1406,1745,1206,1110
,Actinidia04492.t1	46,65,39,29
,Actinidia04493.t1	878,1369,937,1211
,Actinidia04494.t1	178,174,101,109
,Actinidia04495.t1	9199,11783,7752,6919
,Actinidia04496.t1	123,122,89,48
,Actinidia04497.t1	868,976,558,528
,Actinidia04498.t1	116,249,93,257
,Actinidia04499.t1	45985,62192,39551,80337
,Actinidia04500.t1	3289,4600,2690,170
,Actinidia04501.t1	24,60,26,22
,Actinidia04502.t1	25,18,11,18
,Actinidia04503.t1	1760,2012,1800,2150
,Actinidia04504.t1	192,301,143,139
,Actinidia04505.t1	423,541,352,349
,Actinidia04506.t1	2917,4033,2782,1888
,Actinidia04507.t1	5238,6590,4606,6481
,Actinidia04508.t1	2162,3047,2207,1962
,Actinidia04509.t1	430,505,337,186
,Actinidia04510.t2	5588,7638,5008,2853
,Actinidia04511.t1	0,2,1,0
,Actinidia04512.t1	1909,2730,1662,1116
,Actinidia04513.t1	103,153,97,187
,Actinidia04514.t1	461,708,453,527
,Actinidia04515.t1	31,35,30,29
,Actinidia04516.t1	454,651,483,612
,Actinidia04517.t1	18,28,21,15
,Actinidia04518.t1	0,2,2,0
,Actinidia04519.t1	35,52,41,0
,Actinidia04520.t1	2824,3731,2750,2803
,Actinidia04521.t1	0,0,0,0
,Actinidia04522.t1	56,38,31,28
,Actinidia04523.t1	0,0,0,0
,Actinidia04524.t1	0,0,0,0
,Actinidia04525.t1	192,327,171,193
,Actinidia04526.t1	0,0,3,0
,Actinidia04527.t1	0,0,0,0
,Actinidia04528.t1	234,349,173,196
,Actinidia04529.t1	7,8,7,4
,Actinidia04530.t1	45,80,68,41
,Actinidia04531.t1	48,81,44,20
,Actinidia04532.t1	14,28,15,6
,Actinidia04533.t1	0,0,0,0
,Actinidia04534.t1	0,0,0,0
,Actinidia04535.t1	0,0,0,0
,Actinidia04536.t1	0,0,0,0
,Actinidia04537.t1	0,0,0,0
,Actinidia04538.t1	18,27,23,32
,Actinidia04539.t1	0,0,0,0
,Actinidia04540.t1	0,0,0,0
,Actinidia04541.t1	2975,4104,2257,549
,Actinidia04542.t1	311,423,317,184
,Actinidia04543.t1	0,0,0,0
,Actinidia04544.t1	143,192,105,302
,Actinidia04545.t1	206,281,187,476
,Actinidia04546.t1	0,0,0,0
,Actinidia04547.t1	37,21,16,2
,Actinidia04548.t1	159,190,142,89
,Actinidia04549.t1	195,298,165,28
,Actinidia04550.t1	833,864,562,655
,Actinidia04551.t1	300,354,257,211
,Actinidia04552.t1	290,229,208,180
,Actinidia04553.t1	0,0,0,0
,Actinidia04554.t1	0,0,0,0
,Actinidia04555.t1	3691,4931,3142,2466
,Actinidia04556.t1	763,1271,819,515
,Actinidia04557.t1	702,860,594,506
,Actinidia04558.t1	247,299,226,129
,Actinidia04559.t2	515,838,551,635
,Actinidia04560.t1	345,381,247,161
,Actinidia04561.t1	0,0,0,0
,Actinidia04562.t1	61,82,41,29
,Actinidia04563.t1	0,0,0,0
,Actinidia04564.t1	0,0,0,0
,Actinidia04565.t1	0,0,0,1
,Actinidia04566.t1	1,0,0,0
,Actinidia04567.t1	0,0,0,0
,Actinidia04568.t1	0,0,0,0
,Actinidia04569.t1	1,4,0,0
,Actinidia04570.t1	670,851,571,414
,Actinidia04571.t1	3,0,1,0
,Actinidia04572.t1	28,42,14,2
,Actinidia04573.t1	0,0,0,0
,Actinidia04574.t1	0,0,0,0
,Actinidia04575.t1	3831,4501,2608,3713
,Actinidia04576.t1	2,1,1,0
,Actinidia04577.t1	635,645,520,491
,Actinidia04578.t1	2,3,0,0
,Actinidia04579.t1	173,208,153,125
,Actinidia04580.t1	0,0,0,0
,Actinidia04581.t1	2607,3434,2542,2954
,Actinidia04582.t2	14,33,32,13
,Actinidia04583.t1	1713,2213,1769,1266
,Actinidia04584.t1	208,364,180,214
,Actinidia04585.t1	227,264,185,151
,Actinidia04586.t1	0,0,0,0
,Actinidia04587.t1	6087,8118,5173,4332
,Actinidia04588.t1	344,376,328,398
,Actinidia04589.t1	214,303,178,172
,Actinidia04590.t1	1110,1571,1017,863
,Actinidia04591.t1	499,647,397,3132
,Actinidia04592.t1	1600,2125,1369,1055
,Actinidia04593.t1	1977,2515,1875,1272
,Actinidia04594.t1	95,195,72,49
,Actinidia04595.t1	0,0,0,0
,Actinidia04596.t1	0,0,0,0
,Actinidia04597.t1	0,0,0,0
,Actinidia04598.t1	0,0,0,0
,Actinidia04599.t1	0,0,0,0
,Actinidia04600.t1	3,0,1,0
,Actinidia04601.t1	0,0,0,0
,Actinidia04602.t1	29,42,27,23
,Actinidia04603.t1	135,214,170,101
,Actinidia04604.t1	276,514,354,606
,Actinidia04605.t1	0,0,0,0
,Actinidia04606.t1	0,0,0,0
,Actinidia04607.t1	0,1,0,0
,Actinidia04608.t1	43,89,71,82
,Actinidia04609.t1	29,63,50,80
,Actinidia04610.t1	4,2,5,4
,Actinidia04611.t1	61,68,37,51
,Actinidia04612.t1	0,0,0,0
,Actinidia04613.t1	0,0,0,0
,Actinidia04614.t1	0,0,0,0
,Actinidia04615.t1	0,0,0,0
,Actinidia04616.t1	551,569,467,244
,Actinidia04617.t1	122,156,98,80
,Actinidia04618.t1	0,0,0,0
,Actinidia04619.t1	1,0,0,4
,Actinidia04620.t1	0,1,1,2
,Actinidia04621.t1	42,45,60,49
,Actinidia04622.t1	42,59,61,84
,Actinidia04623.t1	0,0,8,0
,Actinidia04624.t1	0,0,0,0
,Actinidia04625.t1	0,0,0,0
,Actinidia04626.t1	0,0,0,0
,Actinidia04627.t1	1746,1587,1038,1058
,Actinidia04628.t1	212,312,184,67
,Actinidia04629.t1	458,445,295,95
,Actinidia04630.t1	0,0,0,0
,Actinidia04631.t1	0,0,0,0
,Actinidia04632.t1	0,0,0,0
