Column name,Concentration (fmol)
Cucsa.000200,-0.24876382937836888
Cucsa.000210,-0.24145121264657385
Cucsa.000230,-0.24876382937836888
Cucsa.000250,-0.18307081527683713
Cucsa.000290,-0.24058664304180713
Cucsa.001310,-0.22395702401837392
Cucsa.001320,-0.23252676678230905
Cucsa.001330,-0.23315908415922446
Cucsa.001340,-0.24469963434181483
Cucsa.001360,-0.23298346403935788
Cucsa.001370,-0.24194764577446207
Cucsa.001400,-0.24832561010031345
Cucsa.001410,-0.23497820764409846
Cucsa.002240,-0.24876382937836888
Cucsa.002260,-0.23002291686536774
Cucsa.002280,-0.20810156819305528
Cucsa.002290,-0.23126456674954893
Cucsa.002310,-0.2485656773530613
Cucsa.002320,-0.22988303881791247
Cucsa.002330,-0.24876382937836888
Cucsa.002530,-0.2355253072144962
Cucsa.002540,-0.2457158780492304
Cucsa.002590,-0.2271747165349561
Cucsa.002600,-0.23436186491885166
Cucsa.002610,-0.24876382937836888
Cucsa.002620,-0.22116869848686846
Cucsa.002630,-0.12413656422102506
Cucsa.002640,-0.2239132213780848
Cucsa.002650,-0.23211372134876887
Cucsa.002660,-0.20939123398012321
Cucsa.002670,-0.2464414322146237
Cucsa.002680,-0.2362907852891866
Cucsa.002880,-0.21951210151990241
Cucsa.002900,-0.23519833148309338
Cucsa.002920,-0.24876382937836888
Cucsa.002930,-0.23820597704519209
Cucsa.002940,-0.23633551743747983
Cucsa.002950,-0.2451169336550666
Cucsa.002960,-0.1978377891254117
Cucsa.002980,-0.24642830228030027
Cucsa.003190,-0.07007109999606044
Cucsa.003210,-0.2365758513290164
Cucsa.003220,0.19207452076450046
Cucsa.003230,-0.23455502298389982
Cucsa.003430,-0.22975542435256646
Cucsa.003830,-0.24695948324292266
Cucsa.003840,-0.1995346768313062
Cucsa.003850,-0.1959210141853268
Cucsa.003860,-0.23509005985587672
Cucsa.003880,-0.24242493786670258
Cucsa.003910,-0.2274358273373223
Cucsa.003950,-0.20206039595692674
Cucsa.003960,-0.1491602796974487
Cucsa.003970,-0.020468378660745846
Cucsa.004190,-0.11925692571376405
Cucsa.004200,-0.23394774632650203
Cucsa.004230,-0.1558850810004024
Cucsa.004430,-0.20793127614620982
Cucsa.004450,-0.24638438254018163
Cucsa.004460,-0.2371065279004006
Cucsa.004470,-0.22659210534445792
Cucsa.004500,-0.2437044240719967
Cucsa.004510,-0.245563657102293
Cucsa.004520,-0.2242181043438333
Cucsa.004530,-0.22400250233012645
Cucsa.004580,-0.24876382937836888
Cucsa.004590,-0.24876382937836888
Cucsa.004610,-0.2306256950562548
Cucsa.004650,-0.22871294109162893
Cucsa.004660,-0.18528145559541273
Cucsa.004670,-0.2371821616888338
Cucsa.004700,-0.24186712597996268
Cucsa.004920,-0.18490699537566138
Cucsa.004950,-0.1985640319817574
Cucsa.004960,-0.24743389827945075
Cucsa.005000,-0.2343712761921835
Cucsa.005010,-0.24483963880978235
Cucsa.005020,-0.22599598910900484
Cucsa.005030,-0.2169941784970629
Cucsa.005040,-0.1851281307231836
Cucsa.005050,-0.24238111268439214
Cucsa.005080,-0.20884912732654556
Cucsa.005090,-0.24578385727257665
Cucsa.005100,-0.24629001283796045
Cucsa.005110,-0.24702936707328385
Cucsa.005120,-0.23180373834136242
Cucsa.005130,-0.05275962032975898
Cucsa.005150,-0.23230884917277497
Cucsa.005160,-0.23806426813220682
Cucsa.005170,-0.2465795742257369
Cucsa.005190,-0.2339544945159121
Cucsa.005210,-0.24876382937836888
Cucsa.005220,-0.1752177965782777
Cucsa.005230,-0.2403398325364751
Cucsa.005240,-0.24709441184611908
Cucsa.005250,-0.2475850301272776
Cucsa.005260,-0.24570074535220596
Cucsa.005270,-0.22480955665994687
Cucsa.005280,0.2825023105295833
Cucsa.005290,-0.23546006503859704
Cucsa.005300,-0.23505857477300557
Cucsa.005310,-0.24648126773852966
Cucsa.005320,-0.23086109319667306
Cucsa.005330,-0.0761889844231397
Cucsa.005350,-0.23950525821662802
Cucsa.005360,-0.24128261029081932
Cucsa.005370,-0.20996344934221264
Cucsa.005380,-0.23322057557578554
Cucsa.005390,-0.1804339425237412
Cucsa.005400,-0.16086386925531762
Cucsa.005410,-0.23991308434150302
Cucsa.005420,-0.22678965799441245
Cucsa.005430,-0.24872526658291885
Cucsa.005450,-0.19523120662611088
Cucsa.005460,-0.22581669902838855
Cucsa.005470,-0.23894358545747865
Cucsa.005480,-0.24200416781449166
Cucsa.005490,-0.24876382937836888
Cucsa.005500,-0.17886303320829483
Cucsa.005510,-0.23041454476312873
Cucsa.005520,-0.22899580590125213
Cucsa.005560,-0.19938579865646913
Cucsa.005570,-0.2472239400688686
Cucsa.005970,-0.24876382937836888
Cucsa.006180,-0.2430771376931709
Cucsa.006190,-0.21630722392121118
Cucsa.006220,-0.24601900233585175
Cucsa.006230,-0.23154150747327873
Cucsa.006240,-0.2447936407706325
Cucsa.006320,-0.23766155572784867
Cucsa.006340,-0.2486921937454061
Cucsa.006940,-0.22170262703362492
Cucsa.007150,-0.24437735784554995
Cucsa.007160,-0.23738716506657084
Cucsa.007170,-0.22117201846328552
Cucsa.007220,-0.21870875679083024
Cucsa.007240,0.040773868532990205
Cucsa.007250,-0.24024067795834184
Cucsa.007260,-0.21967453351715185
Cucsa.007270,-0.2359739698023127
Cucsa.007290,-0.23504732993724478
Cucsa.007300,-0.20467733783823744
Cucsa.007310,-0.24864933091451247
Cucsa.007320,-0.1983469456380804
Cucsa.007330,-0.19955355637877759
Cucsa.007340,-0.2402246913681717
Cucsa.007360,-0.24308041314695503
Cucsa.007380,-0.24495066731437945
Cucsa.007600,-0.16437565777174806
Cucsa.007800,-0.24573685078343538
Cucsa.007810,-0.14730518649488356
Cucsa.007830,-0.22799395273475148
Cucsa.007840,-0.16093029144062937
Cucsa.007850,-0.21545660583502338
Cucsa.008070,-0.24466935527634004
Cucsa.008480,-0.24876382937836888
Cucsa.008880,-0.2432954701128918
Cucsa.008890,-0.24147259099958399
Cucsa.008900,-0.24876382937836888
Cucsa.008910,-0.24876382937836888
Cucsa.009110,-0.24876382937836888
Cucsa.009120,-0.24843436232041693
Cucsa.009140,-0.15233719028590445
Cucsa.009150,-0.2487548555674519
Cucsa.009170,-0.2439059427579285
Cucsa.009180,-0.1464774282538542
Cucsa.009190,-0.24509051755314346
Cucsa.009200,-0.21281268405470535
Cucsa.009210,-0.1769093626464306
Cucsa.009220,-0.24864851590808568
Cucsa.009230,-0.22515330953450582
Cucsa.009260,-0.24865173347566336
Cucsa.009280,-0.24876382937836888
